linkID,taxiID,startTravelTime,travelTime
14,MMC8000GPSANDASYN051113-38042-00000000,2013-01-13 12:52:06,50.0
14,MMC8000GPSANDASYN051113-38109-00000000,2013-01-13 16:01:10,90.0
14,MMC8000GPSANDASYN051113-38214-00000000,2013-01-13 17:40:41,69.0
14,MMC8000GPSANDASYN051113-39651-00000000,2013-01-13 16:58:50,76.0
14,MMC8000GPSANDASYN051113-18733-00000000,2013-01-13 16:27:24,75.0
14,MMC8000GPSANDASYN051113-38073-00000000,2013-01-13 13:51:28,63.0
14,MMC8000GPSANDASYN051113-38115-00000000,2013-01-13 17:10:32,129.0
14,MMC8000GPSANDASYN051113-38225-00000000,2013-01-13 15:22:38,88.0
14,MMC8000GPSANDASYN051113-37651-00000000,2013-01-13 21:59:38,64.0
14,MMC8000GPSANDASYN051113-38350-00000000,2013-01-13 22:06:45,74.0
14,MMC8000GPSANDASYN051113-37893-00000000,2013-01-13 22:54:35,56.0
14,MMC8000GPSANDASYN051113-38348-00000000,2013-01-13 23:18:46,46.0
14,MMC8000GPSANDASYN051113-18465-00000000,2013-01-13 23:01:51,68.0
14,MMC8000GPSANDASYN051113-38101-00000000,2013-01-13 22:09:54,99.0
14,MMC8000GPSANDASYN051113-38180-00000000,2013-01-13 19:22:55,96.0
14,MMC8000GPSANDASYN051113-38291-00000000,2013-01-13 21:34:41,89.0
14,MMC8000GPSANDASYN051113-37625-00000000,2013-01-13 22:27:50,27.0
14,MMC8000GPSANDASYN051113-37904-00000000,2013-01-13 23:18:04,59.0
14,MMC8000GPSANDASYN051113-37749-00000000,2013-01-13 23:52:41,82.0
14,MMC8000GPSANDASYN051113-18060-00000000,2013-01-14 00:49:21,53.0
14,MMC8000GPSANDASYN051113-38056-00000000,2013-01-14 00:20:20,73.0
14,MMC8000GPSANDASYN051113-38240-00000000,2013-01-14 02:36:14,53.0
14,MMC8000GPSANDASYN051113-39669-00000000,2013-01-14 01:29:10,51.0
14,MMC8000GPSANDASYN051113-39641-00000000,2013-01-14 00:51:24,77.0
14,MMC8000GPSANDASYN051113-37904-00000000,2013-01-14 02:52:45,52.0
14,MMC8000GPSANDASYN051113-37904-00000000,2013-01-14 04:17:27,44.0
14,MMC8000GPSANDASYN051113-19968-00000000,2013-01-14 07:02:13,90.0
14,MMC8000GPSANDASYN051113-38152-00000000,2013-01-14 09:07:39,100.0
14,MMC8000GPSANDASYN051113-39666-00000000,2013-01-14 08:51:33,50.0
14,MMC8000GPSANDASYN051113-38241-00000000,2013-01-14 11:26:17,75.0
14,MMC8000GPSANDASYN051113-37803-00000000,2013-01-14 08:26:24,70.0
14,MMC8000GPSANDASYN051113-38278-00000000,2013-01-14 07:02:59,44.0
14,MMC8000GPSANDASYN051113-37840-00000000,2013-01-14 08:56:49,100.0
14,MMC8000GPSANDASYN051113-38125-00000000,2013-01-14 11:33:33,59.0
14,MMC8000GPSANDASYN051113-37728-00000000,2013-01-14 09:14:04,14.0
14,MMC8000GPSANDASYN051113-37718-00000000,2013-01-14 16:36:42,84.0
14,MMC8000GPSANDASYN051113-17518-00000000,2013-01-14 12:18:47,67.0
14,MMC8000GPSANDASYN051113-18988-00000000,2013-01-14 14:02:39,69.0
14,MMC8000GPSANDASYN051113-39657-00000000,2013-01-14 17:53:40,82.0
14,MMC8000GPSANDASYN051113-38288-00000000,2013-01-14 14:33:33,82.0
14,MMC8000GPSANDASYN051113-38344-00000000,2013-01-14 16:24:59,69.0
14,MMC8000GPSANDASYN051113-18569-00000000,2013-01-14 14:22:57,70.0
14,MMC8000GPSANDASYN051113-38002-00000000,2013-01-14 15:41:37,49.0
14,MMC8000GPSANDASYN051113-20271-00000000,2013-01-14 20:52:34,66.0
14,MMC8000GPSANDASYN051113-38247-00000000,2013-01-14 23:39:21,77.0
14,MMC8000GPSANDASYN051113-39651-00000000,2013-01-14 23:17:46,63.0
14,MMC8000GPSANDASYN051113-38298-00000000,2013-01-14 22:46:03,84.0
14,MMC8000GPSANDASYN051113-37833-00000000,2013-01-14 19:36:07,97.0
14,MMC8000GPSANDASYN051113-20198-00000000,2013-01-14 19:52:41,60.0
14,MMC8000GPSANDASYN051113-38073-00000000,2013-01-14 22:53:38,48.0
14,MMC8000GPSANDASYN051113-37926-00000000,2013-01-15 00:20:44,81.0
14,MMC8000GPSANDASYN051113-39662-00000000,2013-01-15 05:21:32,40.0
14,MMC8000GPSANDASYN051113-19867-00000000,2013-01-15 02:43:39,64.0
14,MMC8000GPSANDASYN051113-37796-00000000,2013-01-15 02:03:07,70.0
14,MMC8000GPSANDASYN051113-37796-00000000,2013-01-15 02:28:02,66.0
14,MMC8000GPSANDASYN051113-38298-00000000,2013-01-15 02:42:26,66.0
14,MMC8000GPSANDASYN051113-39669-00000000,2013-01-15 02:06:40,43.0
14,MMC8000GPSANDASYN051113-37840-00000000,2013-01-15 02:07:06,90.0
14,MMC8000GPSANDASYN051113-39618-00000000,2013-01-15 05:22:45,36.0
14,MMC8000GPSANDASYN051113-37910-00000000,2013-01-15 10:25:48,61.0
14,MMC8000GPSANDASYN051113-38304-00000000,2013-01-15 06:55:03,88.0
14,MMC8000GPSANDASYN051113-37970-00000000,2013-01-15 06:54:46,94.0
14,MMC8000GPSANDASYN051113-38013-00000000,2013-01-15 06:47:12,39.0
14,MMC8000GPSANDASYN051113-37812-00000000,2013-01-15 06:35:35,45.0
14,MMC8000GPSANDASYN051113-19533-00000000,2013-01-15 10:46:45,80.0
14,MMC8000GPSANDASYN051113-37659-00000000,2013-01-15 09:46:05,65.0
14,MMC8000GPSANDASYN051113-37774-00000000,2013-01-15 09:40:54,30.0
14,MMC8000GPSANDASYN051113-37948-00000000,2013-01-15 06:32:03,63.0
14,MMC8000GPSANDASYN051113-37620-00000000,2013-01-15 08:52:54,20.0
14,MMC8000GPSANDASYN051113-38165-00000000,2013-01-15 11:05:05,100.0
